gebied;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;17914;8215;9699;764;1607;1061;642;741;871;645;828;1056;336;725;370;338;397;534;666;1403;4930
Vlaams Gewest;10033;4526;5507;409;889;639;372;455;532;379;437;414;186;402;224;193;217;312;382;804;2787
Waals Gewest;6176;2835;3341;292;532;321;221;217;278;214;283;477;117;231;108;110;143;177;220;495;1740
Brussels Hoofdstedelijk Gewest;1705;854;851;63;186;101;49;69;61;52;108;165;33;92;38;35;37;45;64;104;403
Vlaams Brabant;2101;1024;1077;78;168;156;80;100;115;91;117;119;48;75;38;45;45;69;79;154;524
West-Vlaanderen;1761;648;1113;63;135;106;58;69;75;38;55;49;20;90;33;35;44;63;63;152;613
Oost-Vlaanderen;2313;1044;1269;112;233;158;95;95;100;76;89;86;47;88;54;44;40;71;89;201;635
Antwerpen;2576;1229;1347;110;238;150;85;135;170;118;117;106;50;85;62;43;58;68;98;196;687
Limburg;1282;581;701;46;115;69;54;56;72;56;59;54;21;64;37;26;30;41;53;101;328
Waals Brabant;931;483;448;38;81;63;45;42;50;42;40;82;14;41;12;17;13;23;31;68;229
Henegouwen;1916;844;1072;111;154;97;58;44;78;62;91;149;39;65;43;36;35;45;61;167;581
Luik;1861;822;1039;77;170;86;61;64;83;58;86;137;34;74;31;34;47;65;68;155;531
Namen;1004;469;535;45;81;49;44;49;37;33;49;82;16;38;13;18;28;30;43;76;273
Luxemburg;464;217;247;21;46;26;13;18;30;19;17;27;14;13;9;5;20;14;17;29;126
Brussels Hoofdstedelijk Gewest;1705;854;851;63;186;101;49;69;61;52;108;165;33;92;38;35;37;45;64;104;403
