gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;106;99;7;2;14;10;14;15;21;10;4;4;5;0;1;0;4;1;0;1;0;0;0
Gewest Vlaanderen;89;84;5;1;14;9;12;12;16;10;4;4;2;0;0;0;4;1;0;0;0;0;0
Gewest Wallonië;11;9;2;0;0;1;2;2;2;0;0;0;2;0;1;0;0;0;0;1;0;0;0
Gewest Brussels hoofdstedelijk gewest;6;6;0;1;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Prov Vlaams Brabant;11;11;0;0;1;1;3;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;24;22;2;0;3;0;3;4;6;4;0;1;1;0;0;0;2;0;0;0;0;0;0
Prov Oost-Vlaanderen;33;32;1;1;8;6;3;5;6;1;1;0;1;0;0;0;0;1;0;0;0;0;0
Prov Antwerpen;16;15;1;0;2;1;3;2;3;3;1;0;0;0;0;0;1;0;0;0;0;0;0
Prov Limburg;5;4;1;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0
Prov Waals Brabant;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Henegouwen;4;4;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Prov Luik;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Namen;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Luxemburg;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;6;6;0;1;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
