territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;1272;826;446;14;715;58;18;13;5;1;2;0;0;5;378;41;12;5;1;2;2;0;0
Région Flandre;661;436;225;8;383;22;7;10;5;1;0;0;0;3;197;17;5;1;1;0;1;0;0
Région Wallonie;402;247;155;2;219;18;6;1;0;0;1;0;0;1;130;13;7;2;0;1;1;0;0
Région Région de Bruxelles-capitale;209;143;66;4;113;18;5;2;0;0;1;0;0;1;51;11;0;2;0;1;0;0;0
Prov Brabant flamand;130;81;49;1;71;5;2;0;2;0;0;0;0;1;41;4;1;1;1;0;0;0;0
Prov Flandre occidentale;113;69;44;1;64;2;1;1;0;0;0;0;0;1;39;3;0;0;0;0;1;0;0
Prov Flandre orientale;166;120;46;4;108;7;1;0;0;0;0;0;0;1;37;7;1;0;0;0;0;0;0
Prov Anvers;170;123;47;2;101;7;2;8;2;1;0;0;0;0;43;2;2;0;0;0;0;0;0
Prov Limbourg;82;43;39;0;39;1;1;1;1;0;0;0;0;0;37;1;1;0;0;0;0;0;0
Prov Brabant wallon;47;32;15;0;30;1;0;1;0;0;0;0;0;0;13;1;0;1;0;0;0;0;0
Prov Hainaut;128;78;50;1;69;6;2;0;0;0;0;0;0;0;45;3;2;0;0;0;0;0;0
Prov Liège;137;82;55;0;69;10;2;0;0;0;1;0;0;1;43;6;3;1;0;1;0;0;0
Prov Namur;62;39;23;1;37;0;1;0;0;0;0;0;0;0;21;2;0;0;0;0;0;0;0
Prov Luxembourg;28;16;12;0;14;1;1;0;0;0;0;0;0;0;8;1;2;0;0;0;1;0;0
Prov Région de Bruxelles-capitale;209;143;66;4;113;18;5;2;0;0;1;0;0;1;51;11;0;2;0;1;0;0;0
