Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;12540;12078;462;1344;2318;1667;1760;1138;1070;1146;921;482;232;8;18;23;34;26;46;70;93;71;73
Région Flandre;7138;6868;270;925;1426;969;1054;638;574;546;458;189;89;5;8;12;21;13;20;41;54;47;49
Région Wallonie;4559;4391;168;337;678;579;609;441;454;525;406;247;115;1;4;9;11;12;26;24;37;22;22
Région Région de Bruxelles-capitale;843;819;24;82;214;119;97;59;42;75;57;46;28;2;6;2;2;1;0;5;2;2;2
Prov Brabant flamand;1224;1192;32;150;257;172;188;111;86;84;87;34;23;2;0;1;1;3;1;7;9;1;7
Prov Flandre occidentale;1566;1487;79;219;312;199;233;143;124;125;86;36;10;0;1;0;5;4;7;15;14;15;18
Prov Flandre orientale;1970;1900;70;253;385;284;297;174;145;134;138;62;28;3;3;7;8;2;7;9;12;15;4
Prov Anvers;1648;1585;63;210;336;224;225;141;143;133;106;44;23;0;2;2;6;2;5;8;14;12;12
Prov Limbourg;730;704;26;93;136;90;111;69;76;70;41;13;5;0;2;2;1;2;0;2;5;4;8
Prov Brabant wallon;648;627;21;38;88;86;82;82;51;67;65;40;28;0;0;2;2;5;3;2;3;2;2
Prov Hainaut;1252;1189;63;96;182;143;176;128;126;141;114;54;29;1;2;4;1;0;12;12;16;5;10
Prov Liège;1610;1556;54;109;253;203;196;148;183;182;155;95;32;0;0;1;4;6;7;10;11;10;5
Prov Namur;658;635;23;62;101;87;90;43;57;91;50;35;19;0;1;1;3;0;3;0;6;5;4
Prov Luxembourg;391;384;7;32;54;60;65;40;37;44;22;23;7;0;1;1;1;1;1;0;1;0;1
Prov Région de Bruxelles-capitale;843;819;24;82;214;119;97;59;42;75;57;46;28;2;6;2;2;1;0;5;2;2;2
