Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;9609;8583;1026;1080;1249;1016;888;1008;1015;911;759;430;111;263;173;118;86;96;65;63;59;40;31
Région Flandre;4745;4117;628;602;534;443;404;471;525;467;367;168;59;183;86;65;46;53;45;37;41;28;19
Région Wallonie;4138;3828;310;343;567;479;429;492;443;401;364;238;44;56;72;41;31;31;17;24;14;12;9
Région Région de Bruxelles-capitale;726;638;88;135;148;94;55;45;47;43;28;24;8;24;15;12;9;12;3;2;4;0;3
Prov Brabant flamand;711;593;118;77;64;72;69;73;78;81;39;24;10;34;11;10;12;11;8;11;8;3;5
Prov Flandre occidentale;884;778;106;99;72;76;79;92;116;98;88;36;12;24;14;14;11;14;5;5;9;9;1
Prov Flandre orientale;875;755;120;110;89;75;68;86;98;93;69;39;8;32;14;16;7;7;10;12;5;7;4
Prov Anvers;1416;1230;186;188;171;130;101;122;154;140;126;47;22;71;32;12;10;12;16;4;10;3;4
Prov Limbourg;859;761;98;128;138;90;87;98;79;55;45;22;7;22;15;13;6;9;6;5;9;6;5
Prov Brabant wallon;208;189;19;1;17;8;19;31;26;31;32;21;3;1;1;2;2;3;1;2;3;2;2
Prov Hainaut;1617;1500;117;137;206;170;156;202;180;154;160;97;23;23;25;17;13;13;3;12;5;2;3
Prov Liège;1363;1270;93;99;196;180;144;158;149;145;105;75;12;12;21;14;9;9;10;5;4;7;2
Prov Namur;683;619;64;82;112;90;76;71;59;51;42;28;4;16;19;6;7;6;3;4;0;0;1
Prov Luxembourg;267;250;17;24;36;31;34;30;29;20;25;17;2;4;6;2;0;0;0;1;2;1;1
Prov Région de Bruxelles-capitale;726;638;88;135;148;94;55;45;47;43;28;24;8;24;15;12;9;12;3;2;4;0;3
