gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;4027;3771;256;613;865;567;379;300;341;292;226;150;38;45;53;30;33;17;20;17;23;14;4
Gewest Vlaanderen;2382;2235;147;413;466;301;201;161;210;204;157;102;20;35;31;19;12;8;10;4;15;11;2
Gewest Wallonië;1329;1240;89;159;304;205;153;121;114;73;57;42;12;8;17;9;18;9;9;9;6;3;1
Gewest Brussels hoofdstedelijk gewest;316;296;20;41;95;61;25;18;17;15;12;6;6;2;5;2;3;0;1;4;2;0;1
Prov Vlaams Brabant;479;454;25;85;94;59;42;31;46;42;31;18;6;4;1;7;1;1;3;1;6;1;0
Prov West-Vlaanderen;477;428;49;102;85;61;35;21;33;32;34;21;4;10;10;6;4;3;3;2;4;6;1
Prov Oost-Vlaanderen;505;476;29;70;102;64;44;45;48;43;32;26;2;10;5;3;3;2;3;0;2;1;0
Prov Antwerpen;626;592;34;109;119;90;56;44;55;55;38;22;4;8;13;1;2;2;1;1;3;2;1
Prov Limburg;295;285;10;47;66;27;24;20;28;32;22;15;4;3;2;2;2;0;0;0;0;1;0
Prov Waals Brabant;188;177;11;13;35;28;24;22;20;12;11;7;5;2;3;0;1;2;1;1;1;0;0
Prov Henegouwen;473;446;27;71;98;82;60;42;40;25;16;8;4;3;4;2;8;1;3;1;2;2;1
Prov Luik;442;407;35;50;106;61;42;39;38;26;27;16;2;2;4;6;7;6;4;5;1;0;0
Prov Namen;144;138;6;13;44;21;18;13;12;8;3;6;0;1;2;1;1;0;1;0;0;0;0
Prov Luxemburg;82;72;10;12;21;13;9;5;4;2;0;5;1;0;4;0;1;0;0;2;2;1;0
Prov Brussels hoofdstedelijk gewest;316;296;20;41;95;61;25;18;17;15;12;6;6;2;5;2;3;0;1;4;2;0;1
