Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;1143;1003;140;198;376;148;84;60;49;33;32;17;6;12;42;15;12;14;11;10;11;5;8
Région Flandre;963;888;75;184;350;135;78;51;35;24;16;13;2;7;27;10;7;6;5;5;3;3;2
Région Wallonie;126;79;47;10;12;5;4;8;11;7;15;4;3;4;9;4;2;4;5;4;8;2;5
Région Région de Bruxelles-capitale;54;36;18;4;14;8;2;1;3;2;1;0;1;1;6;1;3;4;1;1;0;0;1
Prov Brabant flamand;140;128;12;37;37;21;14;6;5;5;2;1;0;0;3;1;1;2;1;2;1;0;1
Prov Flandre occidentale;229;207;22;49;94;29;18;7;3;4;3;0;0;3;10;1;2;3;0;1;0;1;1
Prov Flandre orientale;257;232;25;38;108;29;20;14;11;7;2;3;0;2;9;7;3;1;2;0;1;0;0
Prov Anvers;254;240;14;46;86;38;21;19;9;7;8;6;0;2;5;1;1;0;2;1;0;2;0
Prov Limbourg;83;81;2;14;25;18;5;5;7;1;1;3;2;0;0;0;0;0;0;1;1;0;0
Prov Brabant wallon;35;19;16;2;4;1;1;3;2;4;1;0;1;1;3;3;0;0;2;0;5;1;1
Prov Hainaut;41;30;11;4;5;2;1;2;3;2;7;2;2;2;1;0;0;2;1;1;0;1;3
Prov Liège;19;13;6;4;1;2;0;2;3;1;0;0;0;0;2;0;1;1;1;0;0;0;1
Prov Namur;27;15;12;0;2;0;1;1;2;0;7;2;0;1;3;1;0;1;1;2;3;0;0
Prov Luxembourg;4;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Prov Région de Bruxelles-capitale;54;36;18;4;14;8;2;1;3;2;1;0;1;1;6;1;3;4;1;1;0;0;1
