territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;2416;1431;985;140;338;216;115;82;114;159;154;90;23;69;209;121;102;64;65;107;117;101;30
Région Flandre;933;624;309;89;188;129;58;35;35;41;28;16;5;23;79;49;37;17;14;26;32;27;5
Région Wallonie;1185;657;528;38;104;64;43;41;70;106;113;64;14;38;97;46;49;40;43;67;69;62;17
Région Région de Bruxelles-capitale;298;150;148;13;46;23;14;6;9;12;13;10;4;8;33;26;16;7;8;14;16;12;8
Prov Brabant flamand;297;172;125;20;47;37;19;10;12;14;8;5;0;7;24;9;13;8;5;14;23;18;4
Prov Flandre occidentale;118;81;37;15;21;21;4;5;2;5;7;1;0;3;13;9;4;1;2;2;0;3;0
Prov Flandre orientale;240;162;78;24;51;39;16;8;10;8;1;4;1;4;23;26;7;6;3;4;4;1;0
Prov Anvers;175;133;42;20;40;19;12;7;10;8;9;5;3;4;10;5;5;1;3;5;5;4;0
Prov Limbourg;103;76;27;10;29;13;7;5;1;6;3;1;1;5;9;0;8;1;1;1;0;1;1
Prov Brabant wallon;140;85;55;3;11;8;7;8;10;12;17;7;2;0;7;5;8;7;6;6;6;9;1
Prov Hainaut;409;189;220;14;33;24;15;9;19;28;23;20;4;23;50;16;22;7;15;22;26;32;7
Prov Liège;350;232;118;10;34;16;10;15;30;38;53;21;5;9;24;12;5;11;9;14;18;13;3
Prov Namur;236;127;109;9;19;14;9;8;11;25;18;12;2;6;14;12;12;12;10;19;15;4;5
Prov Luxembourg;50;24;26;2;7;2;2;1;0;3;2;4;1;0;2;1;2;3;3;6;4;4;1
Prov Région de Bruxelles-capitale;298;150;148;13;46;23;14;6;9;12;13;10;4;8;33;26;16;7;8;14;16;12;8
