Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;8295;7528;767;1095;1713;1483;1018;458;512;668;463;110;8;73;116;116;119;53;49;87;93;56;5
Gewest Vlaanderen;6139;5583;556;918;1304;998;718;360;380;497;345;60;3;59;86;79;71;29;40;69;78;40;5
Gewest Wallonië;1762;1591;171;129;335;403;262;78;112;143;84;41;4;12;20;29;40;20;8;15;14;13;0
Gewest Brussels hoofdstedelijk gewest;394;354;40;48;74;82;38;20;20;28;34;9;1;2;10;8;8;4;1;3;1;3;0
Prov Vlaams Brabant;672;613;59;86;130;115;77;54;37;58;49;6;1;7;10;6;11;2;6;5;10;2;0
Prov West-Vlaanderen;1541;1374;167;229;305;257;178;72;102;129;83;18;1;19;24;21;17;6;13;21;27;16;3
Prov Oost-Vlaanderen;1660;1485;175;258;317;267;179;83;114;138;108;21;0;10;26;29;22;10;15;23;22;17;1
Prov Antwerpen;1349;1263;86;211;319;205;171;76;77;118;74;11;1;11;12;13;8;6;5;14;14;2;1
Prov Limburg;917;848;69;134;233;154;113;75;50;54;31;4;0;12;14;10;13;5;1;6;5;3;0
Prov Waals Brabant;231;212;19;18;43;40;30;5;17;32;19;6;2;0;1;1;7;2;1;2;3;2;0
Prov Henegouwen;601;540;61;55;101;147;88;32;35;52;20;10;0;5;7;9;13;10;2;6;4;5;0
Prov Luik;552;486;66;35;115;125;86;22;36;30;22;14;1;6;10;14;13;4;4;5;5;5;0
Prov Namen;274;251;23;8;55;57;45;15;17;22;22;9;1;1;2;5;5;4;1;2;2;1;0
Prov Luxemburg;104;102;2;13;21;34;13;4;7;7;1;2;0;0;0;0;2;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;394;354;40;48;74;82;38;20;20;28;34;9;1;2;10;8;8;4;1;3;1;3;0
