Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;124;115;9;0;18;11;12;18;21;18;4;7;6;1;1;0;3;2;1;1;0;0;0
Région Flandre;95;90;5;0;11;10;11;15;15;17;2;6;3;0;0;0;3;1;1;0;0;0;0
Région Wallonie;18;16;2;0;4;1;1;2;3;0;2;1;2;0;1;0;0;0;0;1;0;0;0
Région Région de Bruxelles-capitale;11;9;2;0;3;0;0;1;3;1;0;0;1;1;0;0;0;1;0;0;0;0;0
Prov Brabant flamand;12;12;0;0;1;1;3;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre occidentale;24;22;2;0;2;0;1;6;4;6;1;1;1;0;0;0;2;0;0;0;0;0;0
Prov Flandre orientale;35;34;1;0;7;5;6;6;5;3;1;0;1;0;0;0;0;0;1;0;0;0;0
Prov Anvers;18;17;1;0;1;3;1;3;4;4;0;1;0;0;0;0;0;1;0;0;0;0;0
Prov Limbourg;6;5;1;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0
Prov Brabant wallon;4;3;1;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Hainaut;5;5;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Prov Liège;5;5;0;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Prov Namur;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;3;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Prov Région de Bruxelles-capitale;11;9;2;0;3;0;0;1;3;1;0;0;1;1;0;0;0;1;0;0;0;0;0
