territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;1365;1044;321;154;312;197;158;54;70;40;30;17;12;14;30;25;32;26;21;34;34;38;67
Région Flandre;1065;899;166;142;298;178;139;34;50;23;19;7;9;7;15;15;15;10;9;11;19;22;43
Région Wallonie;227;108;119;9;11;10;16;14;17;13;6;9;3;4;10;6;9;12;10;19;11;14;24
Région Région de Bruxelles-capitale;73;37;36;3;3;9;3;6;3;4;5;1;0;3;5;4;8;4;2;4;4;2;0
Prov Brabant flamand;164;132;32;23;38;35;15;4;6;4;3;2;2;0;1;2;3;2;3;3;4;3;11
Prov Flandre occidentale;248;205;43;41;69;42;23;5;11;8;3;0;3;5;2;5;2;3;1;3;4;7;11
Prov Flandre orientale;300;247;53;37;84;41;42;10;14;7;8;3;1;1;10;5;8;2;4;1;4;11;7
Prov Anvers;257;233;24;33;79;46;42;12;11;3;2;2;3;1;2;3;0;2;1;0;5;0;10
Prov Limbourg;96;82;14;8;28;14;17;3;8;1;3;0;0;0;0;0;2;1;0;4;2;1;4
Prov Brabant wallon;57;27;30;2;3;2;3;4;5;6;1;1;0;1;5;0;2;3;1;5;5;2;6
Prov Hainaut;54;25;29;3;4;2;5;3;4;1;2;0;1;1;3;0;2;2;2;6;3;5;5
Prov Liège;61;30;31;2;2;4;6;4;4;2;2;2;2;1;1;3;2;5;1;2;2;6;8
Prov Namur;39;18;21;2;1;1;0;1;4;4;1;4;0;0;1;2;2;2;4;5;1;1;3
Prov Luxembourg;16;8;8;0;1;1;2;2;0;0;0;2;0;1;0;1;1;0;2;1;0;0;2
Prov Région de Bruxelles-capitale;73;37;36;3;3;9;3;6;3;4;5;1;0;3;5;4;8;4;2;4;4;2;0
