Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;10452;8059;2393;629;1190;1074;927;692;836;1005;956;651;99;250;447;351;232;200;174;229;255;224;31
Gewest Vlaanderen;5768;4692;1076;421;640;553;531;423;534;644;553;343;50;150;197;130;97;71;63;103;125;126;14
Gewest Wallonië;3976;2860;1116;179;455;436;333;239;261;318;350;252;37;96;210;181;104;107;97;109;114;84;14
Gewest Brussels hoofdstedelijk gewest;708;507;201;29;95;85;63;30;41;43;53;56;12;4;40;40;31;22;14;17;16;14;3
Prov Vlaams Brabant;1335;1025;310;73;115;113;114;100;119;136;150;93;12;30;47;32;24;21;24;34;48;46;4
Prov West-Vlaanderen;970;786;184;88;116;98;83;58;95;104;81;56;7;31;41;24;10;13;17;16;15;14;3
Prov Oost-Vlaanderen;1277;1071;206;92;141;120;124;107;129;141;115;86;16;26;33;32;20;13;8;17;23;33;1
Prov Antwerpen;1480;1218;262;103;169;135;145;104;135;187;152;76;12;29;43;29;38;19;13;27;30;29;5
Prov Limburg;706;592;114;65;99;87;65;54;56;76;55;32;3;34;33;13;5;5;1;9;9;4;1
Prov Waals Brabant;473;342;131;17;49;43;36;29;43;43;44;36;2;7;31;22;8;10;17;10;12;11;3
Prov Henegouwen;1525;1084;441;61;167;192;119;97;96;116;131;92;13;52;74;84;39;36;37;40;40;34;5
Prov Luik;1179;876;303;77;149;123;108;61;65;98;100;75;20;22;65;46;36;29;15;27;36;23;4
Prov Namen;627;427;200;21;67;62;60;39;40;46;52;38;2;12;31;27;19;29;21;28;18;13;2
Prov Luxemburg;172;131;41;3;23;16;10;13;17;15;23;11;0;3;9;2;2;3;7;4;8;3;0
Prov Brussels hoofdstedelijk gewest;708;507;201;29;95;85;63;30;41;43;53;56;12;4;40;40;31;22;14;17;16;14;3
