territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;1167;868;299;146;217;198;106;57;65;36;22;13;8;12;25;27;33;20;21;40;32;36;53
Région Flandre;887;732;155;137;202;180;85;38;43;18;15;8;6;5;15;15;12;7;9;16;25;18;33
Région Wallonie;216;102;114;7;10;12;18;15;17;11;6;4;2;6;5;8;12;10;12;19;5;17;20
Région Région de Bruxelles-capitale;64;34;30;2;5;6;3;4;5;7;1;1;0;1;5;4;9;3;0;5;2;1;0
Prov Brabant flamand;133;102;31;18;25;30;9;5;6;3;3;1;2;0;3;0;5;0;2;6;3;5;7
Prov Flandre occidentale;200;162;38;42;44;39;10;5;12;5;2;1;2;2;3;2;4;1;3;2;6;8;7
Prov Flandre orientale;258;209;49;38;54;50;27;13;12;5;7;2;1;1;9;9;2;3;2;3;10;4;6
Prov Anvers;210;187;23;28;56;46;30;11;7;4;0;4;1;2;0;3;0;2;1;1;4;1;9
Prov Limbourg;86;72;14;11;23;15;9;4;6;1;3;0;0;0;0;1;1;1;1;4;2;0;4
Prov Brabant wallon;53;24;29;1;0;3;5;3;8;3;0;1;0;2;1;3;1;3;0;9;1;3;6
Prov Hainaut;56;26;30;3;5;3;6;4;2;3;0;0;0;2;2;0;4;2;4;5;1;7;3
Prov Liège;57;27;30;2;2;3;6;5;3;2;0;2;2;2;0;3;4;2;3;1;3;4;8
Prov Namur;37;18;19;1;1;1;0;2;4;3;5;1;0;0;2;0;3;3;3;4;0;2;2
Prov Luxembourg;13;7;6;0;2;2;1;1;0;0;1;0;0;0;0;2;0;0;2;0;0;1;1
Prov Région de Bruxelles-capitale;64;34;30;2;5;6;3;4;5;7;1;1;0;1;5;4;9;3;0;5;2;1;0
