Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;792;680;112;151;219;85;78;40;40;33;25;7;2;13;22;14;9;15;9;13;7;7;3
Région Flandre;645;591;54;141;208;76;69;29;29;19;15;4;1;6;14;7;7;7;3;4;3;2;1
Région Wallonie;109;67;42;7;7;3;8;7;10;12;10;2;1;4;7;3;0;5;5;8;4;4;2
Région Région de Bruxelles-capitale;38;22;16;3;4;6;1;4;1;2;0;1;0;3;1;4;2;3;1;1;0;1;0
Prov Brabant flamand;96;87;9;20;30;16;8;4;5;3;1;0;0;0;1;1;2;1;2;1;0;1;0
Prov Flandre occidentale;156;138;18;44;51;20;12;3;3;4;1;0;0;5;4;3;1;2;1;0;0;1;1
Prov Flandre orientale;172;154;18;43;53;15;20;9;7;3;3;1;0;0;8;2;4;2;0;0;2;0;0
Prov Anvers;166;159;7;28;55;19;21;8;11;8;7;2;0;1;1;1;0;2;0;1;1;0;0
Prov Limbourg;55;53;2;6;19;6;8;5;3;1;3;1;1;0;0;0;0;0;0;2;0;0;0
Prov Brabant wallon;32;16;16;1;3;1;1;3;3;2;1;1;0;1;5;0;0;1;1;3;3;1;1
Prov Hainaut;33;24;9;2;3;0;3;2;3;3;6;1;1;1;1;0;0;1;1;1;1;2;1
Prov Liège;14;9;5;2;0;1;2;1;2;1;0;0;0;1;0;1;0;2;0;0;0;1;0
Prov Namur;24;15;9;2;0;1;1;0;2;6;3;0;0;0;1;1;0;1;2;4;0;0;0
Prov Luxembourg;6;3;3;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
Prov Région de Bruxelles-capitale;38;22;16;3;4;6;1;4;1;2;0;1;0;3;1;4;2;3;1;1;0;1;0
