Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;679;483;196;87;131;81;75;52;19;21;8;5;4;28;54;34;39;13;15;8;2;3;0
Région Flandre;452;351;101;77;105;59;46;44;6;7;2;3;2;24;30;17;13;10;5;0;0;2;0
Région Wallonie;138;78;60;3;16;16;17;5;4;12;3;1;1;4;9;12;21;3;7;3;1;0;0
Région Région de Bruxelles-capitale;89;54;35;7;10;6;12;3;9;2;3;1;1;0;15;5;5;0;3;5;1;1;0
Prov Brabant flamand;60;41;19;7;10;10;6;2;0;2;2;1;1;3;6;3;2;2;2;0;0;1;0
Prov Flandre occidentale;138;115;23;30;33;25;13;12;0;2;0;0;0;7;5;4;4;2;1;0;0;0;0
Prov Flandre orientale;180;140;40;31;49;13;19;18;5;3;0;2;0;12;14;7;3;3;1;0;0;0;0
Prov Anvers;48;35;13;7;11;8;4;3;1;0;0;0;1;2;4;1;3;2;1;0;0;0;0
Prov Limbourg;26;20;6;2;2;3;4;9;0;0;0;0;0;0;1;2;1;1;0;0;0;1;0
Prov Brabant wallon;41;20;21;1;5;4;3;1;1;5;0;0;0;1;2;2;8;1;5;2;0;0;0
Prov Hainaut;42;25;17;2;5;7;4;4;0;0;2;0;1;0;4;3;8;0;1;0;1;0;0
Prov Liège;22;15;7;0;3;1;2;0;2;5;1;1;0;1;0;3;1;1;0;1;0;0;0
Prov Namur;22;13;9;0;3;3;5;0;1;1;0;0;0;1;2;2;3;1;0;0;0;0;0
Prov Luxembourg;11;5;6;0;0;1;3;0;0;1;0;0;0;1;1;2;1;0;1;0;0;0;0
Prov Région de Bruxelles-capitale;89;54;35;7;10;6;12;3;9;2;3;1;1;0;15;5;5;0;3;5;1;1;0
