gebied;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;17068;7463;9605;766;1342;809;650;860;742;671;845;778;319;513;353;333;472;553;879;1720;4463
Vlaams Gewest;9633;4160;5473;444;818;456;397;521;450;382;404;288;209;307;197;190;261;324;522;989;2474
Waals Gewest;5775;2494;3281;252;386;267;188;269;229;232;308;363;89;139;112;112;169;185;284;587;1604
Brussels Hoofdstedelijk Gewest;1660;809;851;70;138;86;65;70;63;57;133;127;21;67;44;31;42;44;73;144;385
Vlaams Brabant;1979;935;1044;86;159;103;81;113;109;89;111;84;37;50;42;48;47;67;109;189;455
West-Vlaanderen;1731;593;1138;72;121;80;68;69;58;39;59;27;36;63;36;30;56;68;80;205;564
Oost-Vlaanderen;2210;953;1257;126;212;112;92;108;81;90;69;63;53;70;42;44;61;70;134;221;562
Antwerpen;2480;1139;1341;113;216;106;111;155;140;109;112;77;47;78;46;43;63;78;130;249;607
Limburg;1233;540;693;47;110;55;45;76;62;55;53;37;36;46;31;25;34;41;69;125;286
Waals Brabant;863;435;428;37;63;50;41;47;44;40;44;69;12;24;16;12;18;27;40;82;197
Henegouwen;1794;725;1069;80;113;77;41;66;68;77;98;105;32;42;40;32;37;56;82;214;534
Luik;1742;722;1020;69;111;79;56;80;63;65;93;106;26;41;33;41;59;60;89;181;490
Namen;942;420;522;43;62;45;37;52;30;36;53;62;14;19;19;17;37;26;53;79;258
Luxemburg;434;192;242;23;37;16;13;24;24;14;20;21;5;13;4;10;18;16;20;31;125
Brussels Hoofdstedelijk Gewest;1660;809;851;70;138;86;65;70;63;57;133;127;21;67;44;31;42;44;73;144;385
