Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;1588;1252;336;194;371;226;176;99;61;51;36;20;18;14;36;29;28;36;19;22;43;37;72
Région Flandre;1265;1088;177;181;347;206;159;76;41;33;22;11;12;7;21;15;14;13;10;5;19;29;44
Région Wallonie;236;116;120;8;13;12;11;20;17;13;9;8;5;3;11;8;9;16;5;15;19;7;27
Région Région de Bruxelles-capitale;87;48;39;5;11;8;6;3;3;5;5;1;1;4;4;6;5;7;4;2;5;1;1
Prov Brabant flamand;193;159;34;31;47;31;24;8;6;4;4;1;3;1;4;1;1;4;1;1;6;4;11
Prov Flandre occidentale;302;259;43;57;79;51;34;11;6;11;5;2;3;2;5;4;2;5;0;3;3;7;12
Prov Flandre orientale;353;294;59;42;105;44;43;23;14;8;9;3;3;3;8;7;8;2;6;0;4;13;8
Prov Anvers;304;276;28;38;85;59;45;25;10;6;3;2;3;1;4;3;2;1;2;0;2;3;10
Prov Limbourg;113;100;13;13;31;21;13;9;5;4;1;3;0;0;0;0;1;1;1;1;4;2;3
Prov Brabant wallon;56;25;31;2;1;1;3;5;4;7;1;1;0;1;5;3;2;3;1;2;8;1;5
Prov Hainaut;59;29;30;3;5;3;3;7;4;0;3;0;1;1;1;2;2;3;2;4;5;3;7
Prov Liège;66;36;30;3;5;4;4;6;5;3;2;0;4;0;3;1;2;7;0;3;1;3;10
Prov Namur;42;20;22;0;2;3;0;0;3;3;3;6;0;1;2;2;1;3;2;3;5;0;3
Prov Luxembourg;13;6;7;0;0;1;1;2;1;0;0;1;0;0;0;0;2;0;0;3;0;0;2
Prov Région de Bruxelles-capitale;87;48;39;5;11;8;6;3;3;5;5;1;1;4;4;6;5;7;4;2;5;1;1
