territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;14882;5228;9654;0;362;597;726;868;665;850;679;325;156;0;123;307;386;530;673;1441;1910;1838;2446
Région Flandre;8181;2790;5391;0;228;340;428;518;393;445;276;114;48;0;80;172;218;306;388;825;1058;1004;1340
Région Wallonie;5185;1805;3380;0;95;196;211;282;220;289;285;152;75;0;32;100;134;174;220;502;663;667;888
Région Région de Bruxelles-capitale;1516;633;883;0;39;61;87;68;52;116;118;59;33;0;11;35;34;50;65;114;189;167;218
Prov Brabant flamand;1673;658;1015;0;50;67;88;106;98;124;77;28;20;0;20;39;38;61;83;162;199;176;237
Prov Flandre occidentale;1489;384;1105;0;44;57;68;73;38;53;30;15;6;0;15;31;43;62;66;149;207;215;317
Prov Flandre orientale;1868;600;1268;0;60;92;91;98;79;89;62;21;8;0;16;45;46;70;90;208;229;252;312
Prov Anvers;2128;779;1349;0;46;78;127;169;121;122;72;35;9;0;15;34;60;70;98;201;277;245;349
Prov Limbourg;1023;369;654;0;28;46;54;72;57;57;35;15;5;0;14;23;31;43;51;105;146;116;125
Prov Brabant wallon;712;309;403;0;15;35;37;49;43;43;51;22;14;0;1;14;11;23;32;68;87;77;90
Prov Hainaut;1641;514;1127;0;26;48;44;80;61;94;99;41;21;0;12;32;30;45;62;163;243;235;305
Prov Liège;1615;542;1073;0;30;63;62;84;64;86;72;55;26;0;11;29;48;63;71;159;200;209;283
Prov Namur;848;303;545;0;19;36;47;39;31;49;50;23;9;0;6;20;25;31;41;87;90;97;148
Prov Luxembourg;369;137;232;0;5;14;21;30;21;17;13;11;5;0;2;5;20;12;14;25;43;49;62
Prov Région de Bruxelles-capitale;1516;633;883;0;39;61;87;68;52;116;118;59;33;0;11;35;34;50;65;114;189;167;218
