territoire;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;117730;108131;9599;13537;12946;12892;12437;11576;10363;10334;10121;7441;6484;1697;1577;1398;1078;1002;809;753;571;359;355
Région flamande;72001;66562;5439;9974;8274;7846;7224;6547;6005;6209;6338;4555;3590;1283;946;775;528;439;380;373;323;217;175
Région wallonne;39305;35963;3342;3076;3955;4381;4562;4353;3802;3540;3284;2511;2499;352;522;523;445;462;324;281;183;108;142
Région de Bruxelles Capitale;6424;5606;818;487;717;665;651;676;556;585;499;375;395;62;109;100;105;101;105;99;65;34;38
Brabant flamand;10498;9640;858;1269;974;1044;982;992;970;1014;1018;755;622;189;110;106;86;85;70;65;55;52;40
Flandre occidentale;14475;13461;1014;2200;1924;1649;1363;1197;1170;1124;1219;876;739;320;197;163;82;64;58;55;37;27;11
Flandre orientale;17635;16382;1253;2427;1937;1949;1812;1629;1445;1509;1610;1160;904;279;204;181;130;101;103;91;82;46;36
Anvers;19323;17867;1456;2648;2214;2098;2089;1789;1559;1665;1592;1234;979;296;267;201;155;121;102;95;100;64;55
Limbourg;10070;9212;858;1430;1225;1106;978;940;861;897;899;530;346;199;168;124;75;68;47;67;49;28;33
Brabant Wallon;2400;2190;210;188;206;207;228;266;242;237;219;180;217;24;26;33;27;23;26;18;18;6;9
Hainaut;16597;15159;1438;1244;1641;1877;1896;1885;1609;1506;1372;1063;1066;143;227;228;195;220;140;130;67;39;49
Liège;12481;11396;1085;921;1291;1454;1578;1382;1239;1103;1020;716;692;112;160;168;146;148;103;90;61;38;59
Namur;5299;4865;434;470;577;546;590;542;484;473;444;374;365;48;74;66;55;51;43;33;28;18;18
Luxembourg;2528;2353;175;253;240;297;270;278;228;221;229;178;159;25;35;28;22;20;12;10;9;7;7
Région de Bruxelles Capitale;6424;5606;818;487;717;665;651;676;556;585;499;375;395;62;109;100;105;101;105;99;65;34;38
