gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;124;115;9;0;18;11;12;18;21;18;4;7;6;1;1;0;3;2;1;1;0;0;0
Gewest Vlaanderen;95;90;5;0;11;10;11;15;15;17;2;6;3;0;0;0;3;1;1;0;0;0;0
Gewest Wallonië;18;16;2;0;4;1;1;2;3;0;2;1;2;0;1;0;0;0;0;1;0;0;0
Gewest Brussels hoofdstedelijk gewest;11;9;2;0;3;0;0;1;3;1;0;0;1;1;0;0;0;1;0;0;0;0;0
Prov Vlaams Brabant;12;12;0;0;1;1;3;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;24;22;2;0;2;0;1;6;4;6;1;1;1;0;0;0;2;0;0;0;0;0;0
Prov Oost-Vlaanderen;35;34;1;0;7;5;6;6;5;3;1;0;1;0;0;0;0;0;1;0;0;0;0
Prov Antwerpen;18;17;1;0;1;3;1;3;4;4;0;1;0;0;0;0;0;1;0;0;0;0;0
Prov Limburg;6;5;1;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0
Prov Waals Brabant;4;3;1;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Henegouwen;5;5;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Prov Luik;5;5;0;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Prov Namen;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;3;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;11;9;2;0;3;0;0;1;3;1;0;0;1;1;0;0;0;1;0;0;0;0;0
