territoire;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;107707;99073;8634;12511;12501;12013;11712;10228;9927;10247;9323;6119;4492;1563;1559;1213;970;896;711;695;471;305;251
Région flamande;65123;60361;4762;9189;7914;7115;6652;5649;5803;6178;5810;3653;2398;1156;930;599;445;382;339;341;277;179;114
Région wallonne;36458;33358;3100;2833;3904;4229;4426;3934;3571;3478;3049;2161;1773;330;533;503;434;409;288;260;140;95;108
Région de Bruxelles Capitale;6126;5354;772;489;683;669;634;645;553;591;464;305;321;77;96;111;91;105;84;94;54;31;29
Brabant flamand;9469;8706;763;1072;961;920;912;875;961;1036;933;606;430;169;98;90;83;71;65;61;52;47;27
Flandre occidentale;13195;12352;843;2214;1814;1472;1243;1071;1133;1084;1094;728;499;254;204;108;72;51;48;48;34;19;5
Flandre orientale;16018;14905;1113;2223;1841;1789;1685;1377;1428;1544;1495;926;597;259;203;157;106;95;85;87;65;42;14
Anvers;17361;16069;1292;2347;2122;1961;1859;1525;1484;1595;1531;996;649;277;262;162;126;96;99;89;90;49;42
Limbourg;9080;8329;751;1333;1176;973;953;801;797;919;757;397;223;197;163;82;58;69;42;56;36;22;26
Brabant Wallon;2248;2046;202;142;216;206;230;249;230;251;189;179;154;19;36;27;23;22;23;24;13;7;8
Hainaut;15419;14089;1330;1169;1628;1761;1899;1702;1518;1431;1302;936;743;126;236;214;197;195;121;117;55;29;40
Liège;11613;10595;1018;865;1262;1468;1471;1244;1146;1114;926;592;507;105;169;172;140;130;99;79;44;38;42
Namur;4908;4502;406;452;564;537;542;503;477;440;421;313;253;56;65;65;56;48;33;32;24;13;14
Luxembourg;2270;2126;144;205;234;257;284;236;200;242;211;141;116;24;27;25;18;14;12;8;4;8;4
Région de Bruxelles Capitale;6126;5354;772;489;683;669;634;645;553;591;464;305;321;77;96;111;91;105;84;94;54;31;29
