Gebied;Totaal;Geslacht;Unnamed: 3;Vrouw;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Man;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;-25;25-29;30-34;35-39;40-44;45-49;50-54
België;2029.0;1342;687;200;1036;73;17;5;7;4;96;510;59;9;7;4;2
Vlaams Gewest;872.0;572;300;112;419;27;4;4;3;3;59;216;15;7;2;1;0
Waals Gewest;869.0;590;279;74;482;27;5;0;2;0;30;217;28;1;1;1;1
Brussels Hoofdstedelijk Gewest;288.0;180;108;14;135;19;8;1;2;1;7;77;16;1;4;2;1
Vlaams Brabant;203.0;130;73;28;90;8;0;1;2;1;15;55;1;0;1;1;0
West-Vlaanderen;123.0;83;40;21;58;2;0;1;1;0;8;27;4;1;0;0;0
Oost-Vlaanderen;223.0;144;79;18;118;7;1;0;0;0;12;58;4;4;1;0;0
Antwerpen;222.0;151;71;33;104;8;3;2;0;1;18;48;3;2;0;0;0
Limburg;101.0;64;37;12;49;2;0;0;0;1;6;28;3;0;0;0;0
Waals Brabant;119.0;88;31;11;70;7;0;0;0;0;2;26;2;0;0;1;0
Henegouwen;283.0;205;78;28;167;8;2;0;0;0;11;60;6;0;1;0;0
Luik;290.0;177;113;22;142;11;2;0;0;0;9;89;14;0;0;0;1
Namen;111.0;76;35;9;66;0;1;0;0;0;3;26;5;1;0;0;0
Luxemburg;66.0;44;22;4;37;1;0;0;2;0;5;16;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;288.0;180;108;14;135;19;8;1;2;1;7;77;16;1;4;2;1
