territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;6930;6301;629;1012;1489;1224;775;353;516;526;349;54;3;68;91;105;82;42;46;76;73;45;1
Région Flandre;5108;4664;444;842;1105;817;562;277;380;400;254;25;2;54;70;66;38;27;32;62;62;32;1
Région Wallonie;1502;1354;148;131;312;351;186;56;110;111;70;27;0;10;14;30;38;13;11;12;10;10;0
Région Région de Bruxelles-capitale;320;283;37;39;72;56;27;20;26;15;25;2;1;4;7;9;6;2;3;2;1;3;0
Prov Brabant flamand;559;516;43;85;105;92;70;40;43;45;32;3;1;5;7;6;6;2;7;2;7;1;0
Prov Flandre occidentale;1344;1199;145;222;266;230;138;53;107;107;65;10;1;18;23;18;7;9;10;23;20;17;0
Prov Flandre orientale;1329;1196;133;199;277;196;141;72;104;112;88;7;0;12;21;20;12;9;9;18;20;11;1
Prov Anvers;1114;1042;72;198;270;169;119;59;74;97;51;5;0;7;13;12;6;3;6;12;12;1;0
Prov Limbourg;762;711;51;138;187;130;94;53;52;39;18;0;0;12;6;10;7;4;0;7;3;2;0
Prov Brabant wallon;194;179;15;15;38;37;22;4;13;28;18;4;0;0;1;4;3;1;1;3;0;2;0
Prov Hainaut;521;470;51;52;96;133;68;25;39;32;18;7;0;4;2;8;14;8;3;5;3;4;0
Prov Liège;483;425;58;41;110;112;56;16;37;25;18;10;0;4;10;12;14;2;5;3;5;3;0
Prov Namur;223;201;22;12;50;45;32;8;15;20;14;5;0;2;1;6;5;2;2;1;2;1;0
Prov Luxembourg;81;79;2;11;18;24;8;3;6;6;2;1;0;0;0;0;2;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;320;283;37;39;72;56;27;20;26;15;25;2;1;4;7;9;6;2;3;2;1;3;0
